n_active,sample_id,policy,throughput,rho,migrations,throughput_gain
2,0,Proposed,80.17555692852986,14.645279534444045,1,0.0
2,0,PdOracle,80.17555692852986,14.645279534444045,1,0.0
2,0,PerfOracle,80.17555692852986,12.750502758504963,0,0.0
2,0,HotCold,80.17555692852986,12.287774786497828,7,0.0
2,1,Proposed,112.34913617557923,16.418313036230074,5,0.0
2,1,PdOracle,112.34913617557923,16.418313036230074,3,0.0
2,1,PerfOracle,112.34913617557923,12.148497180403135,0,0.0
2,1,HotCold,112.34913617557923,14.837694415596312,3,0.0
2,2,Proposed,117.55231435832431,6.799364754899604,3,0.0
2,2,PdOracle,117.55231435832431,6.799364754899604,2,0.0
2,2,PerfOracle,117.55231435832431,5.643386689724556,0,0.0
2,2,HotCold,117.55231435832431,5.67219019458891,12,0.0
3,0,Proposed,141.55330319906454,6.933364520669702,5,0.03348042737994206
3,0,PdOracle,141.55330319906454,6.933364520669702,3,0.03348042737994206
3,0,PerfOracle,141.55330319906454,5.82097767599,1,0.03348042737994206
3,0,HotCold,141.55330319906454,5.725935304038728,15,0.03348042737994206
3,1,Proposed,104.17654576927009,14.049979935506132,6,0.0
3,1,PdOracle,104.17654576927009,14.04899115782643,2,0.0
3,1,PerfOracle,104.17654576927009,12.128101166797457,0,0.0
3,1,HotCold,104.17654576927009,12.591319242704586,10,0.0
3,2,Proposed,136.35012501631948,13.996488292536371,5,0.0
3,2,PdOracle,136.35012501631948,13.996488292536371,2,0.0
3,2,PerfOracle,136.35012501631948,12.108545618387799,0,0.0
3,2,HotCold,136.35012501631948,12.494922656446718,9,0.0
4,0,Proposed,165.55429203980478,6.9813998719895904,5,0.04312667290693639
4,0,PdOracle,165.55429203980478,6.9813998719895904,3,0.04312667290693639
4,0,PerfOracle,165.55429203980478,5.8331306753923995,1,0.04312667290693639
4,0,HotCold,165.55429203980478,5.972423569218568,15,0.04312667290693639
4,1,Proposed,235.10462871664862,8.852446793586614,7,2.505538281046455
4,1,PdOracle,235.10462871664862,8.852446793586614,3,2.505538281046455
4,1,PerfOracle,235.10462871664862,5.648141643553575,1,2.505538281046455
4,1,HotCold,235.10462871664862,5.741091853341741,13,2.505538281046455
4,2,Proposed,202.93104946959923,8.86054618743834,5,0.07230368979134028
4,2,PdOracle,202.93104946959923,8.176584602931538,2,0.07230368979134028
4,2,PerfOracle,202.93104946959923,7.847988162524114,1,0.07230368979134028
4,2,HotCold,202.93104946959923,8.114272814536813,15,0.07230368979134028
5,0,Proposed,286.07601862169315,6.90769773437713,4,0.16282994226622804
5,0,PdOracle,286.07601862169315,6.9080062028096725,2,0.16282994226622804
5,0,PerfOracle,286.07601862169315,5.821037413204439,1,0.16282994226622804
5,0,HotCold,286.05644035113323,5.595535348971252,12,0.14325167170630948
5,1,Proposed,259.1056175573889,9.054650830792577,4,0.0
5,1,PdOracle,259.1056175573889,9.054650830792577,3,0.0
5,1,PerfOracle,259.1056175573889,5.670609360599622,0,0.0
5,1,HotCold,259.1056175573889,5.7445046716660455,15,0.0
5,2,Proposed,253.9024393746438,7.046327865550841,5,0.16854721665805528
5,2,PdOracle,253.9024393746438,7.046327865550841,3,0.16854721665805528
5,2,PerfOracle,253.9024393746438,5.820847257989603,1,0.16854721665805528
5,2,HotCold,253.84496804920693,5.586900242333961,15,0.11107589122119066
6,0,Proposed,240.52667078558954,13.839464422659887,4,0.0
6,0,PdOracle,240.52667078558954,16.365936598494535,7,0.0
6,0,PerfOracle,240.52667078558954,12.12731240770842,0,0.0
6,0,HotCold,240.52667078558954,12.430311755099993,9,0.0
6,1,Proposed,240.52667078558954,15.786807088409708,11,0.0
6,1,PdOracle,240.52667078558954,13.53038316152801,4,0.0
6,1,PerfOracle,240.52667078558954,12.463004909905557,0,0.0
6,1,HotCold,240.52667078558954,15.61864699041401,6,0.0
6,2,Proposed,310.0770074624334,7.046030996737025,5,1.2880620110302061
6,2,PdOracle,310.0770074624334,7.04633802809368,4,1.2880620110302061
6,2,PerfOracle,310.0770074624334,5.830622518851652,1,1.2880620110302061
6,2,HotCold,308.7276874317245,5.2972818065418625,15,-0.06125801967868938
7,0,Proposed,307.1075952388694,9.210659169395546,7,0.0
7,0,PdOracle,307.1075952388694,8.995436737293687,4,0.0
7,0,PerfOracle,307.1075952388694,5.641867740616736,0,0.0
7,0,HotCold,307.1075952388694,8.522717203445696,15,0.0
7,1,Proposed,339.28117448591877,7.81847201662453,7,0.6946012774345149
7,1,PdOracle,339.28117448591877,8.704070054692043,6,0.6946012774345149
7,1,PerfOracle,339.28117448591877,6.53403586123141,1,0.6946012774345149
7,1,HotCold,338.58892047087164,5.521383520765525,15,0.0023472623873885823
7,2,Proposed,339.28117448591877,8.911435855371332,6,3.1327896905691546
7,2,PdOracle,339.28117448591877,8.908057167162877,5,3.1327896905691546
7,2,PerfOracle,339.28117448591877,6.569963931594038,1,3.1327896905691546
7,2,HotCold,336.62541911261394,5.3020135885485375,15,0.47703431726432655
8,0,Proposed,400.6589207564535,9.094423913888974,12,3.8478442804615156
8,0,PdOracle,400.6589207564535,8.381004542595544,4,3.8478442804615156
8,0,PerfOracle,400.6589207564535,5.892106314305888,1,3.8478442804615156
8,0,HotCold,400.4224591474377,5.582038686827631,15,3.6113826714457105
8,1,Proposed,352.87580696116885,18.969233094685734,8,0.0
8,1,PdOracle,352.87580696116885,16.97780716057209,7,0.0
8,1,PerfOracle,352.87580696116885,12.484190836640796,0,0.0
8,1,HotCold,352.87580696116885,16.1007504861816,10,0.0
8,2,Proposed,325.9054058968646,7.116787102494837,6,0.0
8,2,PdOracle,325.9054058968646,7.122491923368913,5,0.0
8,2,PerfOracle,325.9054058968646,5.680574289143208,0,0.0
8,2,HotCold,325.9054058968646,5.783043836828458,15,0.0
9,0,Proposed,424.65990959719375,7.686298680501433,5,1.8375093267558782
9,0,PdOracle,424.65990959719375,8.777183551217128,6,1.8375093267558782
9,0,PerfOracle,424.65990959719375,7.489273432890541,1,1.8375093267558782
9,0,HotCold,424.65990959719375,7.727926853363248,15,1.8375093267558782
9,1,Proposed,451.630310661498,9.328196660368183,7,0.4985283357714252
9,1,PdOracle,451.630310661498,9.328728776296893,5,0.4985283357714252
9,1,PerfOracle,451.630310661498,5.817275779112675,1,0.4985283357714252
9,1,HotCold,451.630310661498,8.91004994012534,15,0.4985283357714252
9,2,Proposed,494.2102462740375,7.75761013629733,6,0.14076665623724693
9,2,PdOracle,494.2102462740375,9.468417599264725,6,0.14076665623724693
9,2,PerfOracle,494.2102462740375,5.600436144466958,1,0.14076665623724693
9,2,HotCold,494.0335379809889,5.589928838426839,15,-0.035941636811344324
10,0,Proposed,507.80487874928764,9.327617244846738,8,0.695107987182098
10,0,PdOracle,507.80487874928764,9.327617244846738,4,0.695107987182098
10,0,PerfOracle,507.80487874928764,5.8332919838230755,1,0.695107987182098
10,0,HotCold,507.80487874928764,9.263972194495373,15,0.695107987182098
10,1,Proposed,480.83447768498337,9.0961309268443,6,0.0
10,1,PdOracle,480.83447768498337,9.1254848736878,6,0.0
10,1,PerfOracle,480.83447768498337,5.73012245253663,0,0.0
10,1,HotCold,480.83447768498337,5.9675613978817434,15,0.0
10,2,Proposed,491.2408340504735,8.164064989767487,5,0.0
10,2,PdOracle,491.2408340504735,8.032074517717573,4,0.0
10,2,PerfOracle,491.2408340504735,7.123308329375531,0,0.0
10,2,HotCold,491.2408340504735,7.983943323429222,15,0.0
11,0,Proposed,569.1826250198222,9.536906297196849,10,0.0
11,0,PdOracle,569.1826250198222,9.284022226441136,7,0.0
11,0,PerfOracle,569.1826250198222,5.646522380358484,0,0.0
11,0,HotCold,569.1826250198222,5.833253690376825,15,0.0
11,1,Proposed,569.1826250198222,9.072047026167391,11,3.8792153432787018
11,1,PdOracle,569.1826250198222,9.959803701644097,7,3.8792153432787018
11,1,PerfOracle,569.1826250198222,5.602811571809758,1,3.8792153432787018
11,1,HotCold,566.1429075970162,5.371738103657909,15,0.8394979204726951
11,2,Proposed,537.0090457727729,8.492233660835836,10,0.35306506415827243
11,2,PdOracle,537.0090457727729,8.395287802799118,4,0.35306506415827243
11,2,PerfOracle,537.0090457727729,6.019000059325704,1,0.35306506415827243
11,2,HotCold,537.0090457727729,5.626511998728441,15,0.35306506415827243
12,0,Proposed,635.7635494731019,10.050438507733178,12,0.9776028014009626
12,0,PdOracle,635.7635494731019,10.034588789415231,6,0.9776028014009626
12,0,PerfOracle,635.7635494731019,5.653867013259558,1,0.9776028014009626
12,0,HotCold,635.7635494731019,8.178091274211589,15,0.9776028014009626
12,1,Proposed,481.05334157117926,16.962884974869205,15,0.0
12,1,PdOracle,481.05334157117926,16.408456792426154,10,0.0
12,1,PerfOracle,481.05334157117926,12.559235916183814,0,0.0
12,1,HotCold,481.05334157117926,16.90445494091187,15,0.0
12,2,Proposed,625.3571931076118,8.940173079648616,11,2.5106542386583897
12,2,PdOracle,625.3571931076118,7.79704351610809,3,2.5106542386583897
12,2,PerfOracle,625.3571931076118,5.672850082606584,1,2.5106542386583897
12,2,HotCold,625.2134356448048,5.589076246215319,15,2.3668967758513872
13,0,Proposed,659.7645383138421,9.408658899515574,10,0.0
13,0,PdOracle,659.7645383138421,9.408658899515574,9,0.0
13,0,PerfOracle,659.7645383138421,6.225434715686172,0,0.0
13,0,HotCold,659.7645383138421,8.0685753256981,15,0.0
13,1,Proposed,585.0110234542533,8.440279540876501,8,0.0
13,1,PdOracle,585.0110234542533,8.917550144954077,6,0.0
13,1,PerfOracle,585.0110234542533,5.628970646380083,0,0.0
13,1,HotCold,585.0110234542533,5.623859788565054,15,0.0
13,2,Proposed,691.9381175608914,8.421196011223365,14,0.0
13,2,PdOracle,691.9381175608914,9.335677380530948,10,0.0
13,2,PerfOracle,691.9381175608914,5.793104447519397,0,0.0
13,2,HotCold,691.9381175608914,6.159423526536137,15,0.0
14,0,Proposed,635.9824133592978,9.408293408250143,8,0.0
14,0,PdOracle,635.9824133592978,9.410303101384203,7,0.0
14,0,PerfOracle,635.9824133592978,5.770061849383514,0,0.0
14,0,HotCold,635.9824133592978,7.773539503519831,15,0.0
14,1,Proposed,715.9391064016316,9.165016855121825,15,0.5329277690184426
14,1,PdOracle,715.9391064016316,9.151777310629608,8,0.5329277690184426
14,1,PerfOracle,715.9391064016316,5.674348720043822,1,0.5329277690184426
14,1,HotCold,715.4329940878821,5.576940141220553,15,0.0268154552688884
14,2,Proposed,710.7359282188866,8.161728273985235,3,0.2218541266450984
14,2,PdOracle,710.7359282188866,8.162818047026315,3,0.2218541266450984
14,2,PerfOracle,710.7359282188866,8.079746801643472,1,0.2218541266450984
14,2,HotCold,710.7359282188866,7.8455268162698095,15,0.2218541266450984
15,0,Proposed,734.7369170596268,9.572214241524772,14,0.2593314601338079
15,0,PdOracle,734.7369170596268,8.699342155636746,6,0.2593314601338079
15,0,PerfOracle,734.7369170596268,5.683613225809685,1,0.2593314601338079
15,0,HotCold,734.6580330691163,5.595502809173154,15,0.18044746962334557
15,1,Proposed,766.9104963066761,9.272224691577298,15,0.6626061268680132
15,1,PdOracle,766.9104963066761,9.354815890750974,11,0.6626061268680132
15,1,PerfOracle,766.9104963066761,5.652358166598654,1,0.6626061268680132
15,1,HotCold,766.2510925774696,5.56247392163272,15,0.0032023976615391803
15,2,Proposed,745.143273425117,8.36273015000156,15,7.267842542141693
15,2,PdOracle,745.143273425117,11.522266477606895,7,7.267842542141693
15,2,PerfOracle,745.143273425117,6.007089239318331,1,7.267842542141693
15,2,HotCold,738.1530854204204,5.338032420694473,15,0.2776545374451871
16,0,Proposed,662.217168159219,9.222946053296589,13,0.0
16,0,PdOracle,662.217168159219,9.232655999299288,7,0.0
16,0,PerfOracle,662.217168159219,5.676366685654865,0,0.0
16,0,HotCold,662.0622603076075,5.591170726021628,15,-0.15490785161148324
16,1,Proposed,876.0713563724954,8.156380248161662,10,0.0
16,1,PdOracle,876.0713563724954,8.893556617538918,9,0.0
16,1,PerfOracle,876.0713563724954,5.755622948070199,0,0.0
16,1,HotCold,876.0713563724954,5.763388632161168,15,0.0
16,2,Proposed,801.3178415129065,9.182630070382965,9,0.0
16,2,PdOracle,801.3178415129065,8.24491131057877,4,0.0
16,2,PerfOracle,801.3178415129065,5.776198354949838,0,0.0
16,2,HotCold,801.3178415129065,5.88459218331775,15,0.0
17,0,Proposed,809.7092958054116,9.554091573457198,11,0.0
17,0,PdOracle,809.7092958054116,9.554051330762709,7,0.0
17,0,PerfOracle,809.7092958054116,5.920401588932393,0,0.0
17,0,HotCold,808.4751860150806,5.506639424282135,15,-1.23410979033099
17,1,Proposed,921.8395680947948,8.157857362568551,6,0.0
17,1,PdOracle,921.8395680947948,9.328163811356776,5,0.0
17,1,PerfOracle,921.8395680947948,5.956416452706684,0,0.0
17,1,HotCold,921.8395680947948,5.933460958157504,15,0.0
17,2,Proposed,787.9420729238523,8.976159323783355,7,6.566016833769595
17,2,PdOracle,787.9420729238523,8.966716030706193,4,6.566016833769595
17,2,PerfOracle,787.9420729238523,5.830298922141039,1,6.566016833769595
17,2,HotCold,787.9420729238523,8.057536630584233,15,6.566016833769595
18,0,Proposed,951.0437351182801,8.15490344966223,5,0.0
18,0,PdOracle,951.0437351182801,8.492126584683607,8,0.0
18,0,PerfOracle,951.0437351182801,5.769635364451324,0,0.0
18,0,HotCold,948.1091691776278,5.504866162726934,15,-2.9345659406523055
18,1,Proposed,908.4637995057406,8.151742598794447,8,0.30449680210369934
18,1,PdOracle,908.4637995057406,8.148148961266907,3,0.30449680210369934
18,1,PerfOracle,908.4637995057406,5.944393621078622,1,0.30449680210369934
18,1,HotCold,908.2338910325146,5.589517665449455,15,0.07458832887778044
18,2,Proposed,769.363126152053,9.988489827762939,14,0.14790693025202017
18,2,PdOracle,769.363126152053,9.398802023241585,10,0.14790693025202017
18,2,PerfOracle,769.363126152053,5.688312412323196,1,0.14790693025202017
18,2,HotCold,769.363126152053,5.817410162973304,15,0.14790693025202017
19,0,Proposed,862.914451669637,8.917479749497817,8,0.0
19,0,PdOracle,862.914451669637,9.415382194830482,9,0.0
19,0,PerfOracle,862.914451669637,5.79386733533762,0,0.0
19,0,HotCold,862.914451669637,6.020010518380997,15,0.0
19,1,Proposed,873.3208080351271,9.474999949850472,12,0.0
19,1,PdOracle,873.3208080351271,9.151585450955592,6,0.0
19,1,PerfOracle,873.3208080351271,5.742535250621835,0,0.0
19,1,HotCold,873.3208080351271,7.741073949257675,15,0.0
19,2,Proposed,846.3504069708229,9.288951549074921,12,0.0
19,2,PdOracle,846.3504069708229,8.374602198721368,8,0.0
19,2,PerfOracle,846.3504069708229,5.67090120215796,0,0.0
19,2,HotCold,846.3504069708229,5.672721986092849,15,0.0
20,0,Proposed,956.465777187221,8.968391075663229,15,3.304952357949446
20,0,PdOracle,956.465777187221,9.181049087356383,7,3.304952357949446
20,0,PerfOracle,956.465777187221,5.686869729574688,1,3.304952357949446
20,0,HotCold,956.4025864466257,5.597117737921429,15,3.2417616173542
20,1,Proposed,966.8721335527111,9.180945987731647,15,0.0
20,1,PdOracle,966.8721335527111,8.24831360859527,5,0.0
20,1,PerfOracle,966.8721335527111,5.624436563833468,0,0.0
20,1,HotCold,966.8721335527111,5.653615259082779,15,0.0
20,2,Proposed,956.465777187221,8.479451143088896,7,0.0
20,2,PdOracle,956.465777187221,10.29229281301233,12,0.0
20,2,PerfOracle,956.465777187221,6.77499251591771,0,0.0
20,2,HotCold,956.465777187221,6.904446452844987,15,0.0
21,0,Proposed,1028.249879823246,8.953923839972001,15,0.0
21,0,PdOracle,1028.249879823246,9.527936004259745,10,0.0
21,0,PerfOracle,1028.249879823246,5.8917974554922585,0,0.0
21,0,HotCold,1028.249879823246,7.701234978048951,15,0.0
21,1,Proposed,926.5259638993526,9.568982142011082,12,0.3294666846164773
21,1,PdOracle,926.5259638993526,8.419353792204252,6,0.3294666846164773
21,1,PerfOracle,926.5259638993526,7.443839009565323,1,0.3294666846164773
21,1,HotCold,925.915252806165,5.580121127926879,15,-0.28124440857118316
21,2,Proposed,1060.4234590702954,9.123109716610225,15,0.5022461335825028
21,2,PdOracle,1060.4234590702954,9.39960074733503,11,0.5022461335825028
21,2,PerfOracle,1060.4234590702954,5.6546164155038,1,0.5022461335825028
21,2,HotCold,1060.4234590702954,5.958737383692444,15,0.5022461335825028
22,0,Proposed,1084.4244479110357,9.203227360696037,15,0.0
22,0,PdOracle,1084.4244479110357,9.393434274049113,12,0.0
22,0,PerfOracle,1084.4244479110357,5.9690436027290765,0,0.0
22,0,HotCold,1084.4244479110357,5.901687897279649,15,0.0
22,1,Proposed,1121.8012053408304,9.541717328034846,12,0.0
22,1,PdOracle,1121.8012053408304,9.454692947706693,7,0.0
22,1,PerfOracle,1121.8012053408304,5.920037725483668,0,0.0
22,1,HotCold,1121.8012053408304,9.057810899351349,15,0.0
22,2,Proposed,1084.4244479110357,9.49560581661199,13,0.0
22,2,PdOracle,1084.4244479110357,9.500965786785525,12,0.0
22,2,PerfOracle,1084.4244479110357,5.734796636384338,0,0.0
22,2,HotCold,1084.4244479110357,7.068381871012885,15,0.0
23,0,Proposed,1215.3525308584144,9.26136227885434,9,0.0
23,0,PdOracle,1215.3525308584144,9.286192198893001,5,0.0
